text,n,tweet_url
"It will be ""important"" to reach a ""vastly increased"" testing capacity by the time children return to school, an expert in infectious disease has said.
https://t.co/BHU07tfi6G #schools #coronavirus",11,https://twitter.com/Parentkind/status/1257268771070316544
"Coronavirus in Scotland: Private schools get reprieve from rates hike to see off crisis. This should never have been imposed in the first place. It is a vindictive measure imposed by an ignorant finance secretary who has since evaporated. Good riddance. 

https://t.co/zDFL5eUmm1",11,https://twitter.com/DrW0mbat/status/1257120001477074944
How the UK’s lockdown compares to others around the world https://t.co/zGouDEoP67,11,https://twitter.com/Independent/status/1257608060803178497
"Services, businesses and private schools all offering discounts because offer is reduced but govt says students must pay full whack in sept whatever they get

Coronavirus: Students to pay full tuition fees even if universities are shut

https://t.co/HruP3cedLT",11,https://twitter.com/RosieDBennett/status/1257211090532020224
"People are up to 30 times more at risk from coronavirus standing 1m from an infected person than standing 2m away, according to Uk scientific advisor Sir Patrick Vallance
https://t.co/XhcLS4d8Qo https://t.co/nI3PymG97I",11,https://twitter.com/WalesOnline/status/1257641908496674817
"Former schools minister @Andrew_Adonis wrote to Ofsted complaining that ""many schools"" are ""not providing adequate online learning and support"" during the coronavirus crisis – and #edutwitter responded 
https://t.co/VLeC5G80Oo",11,https://twitter.com/tes/status/1256313701033885697
Read Teachers’ 7 top tips for supporting wellbeing and learning during coronavirus https://t.co/IGfE5DKEIX https://t.co/X2mUtD2gVY,11,https://twitter.com/Reach_Scot/status/1257225607303364608
"Breaking: Education in Scotland to change 'for the foreseeable future' due to #coronavirus

@ScotGov document:

- Year groups could be ranked in priority order for return
- Mix of in-school and at-home learning
- Deep cleaning of schools while pupils are not there https://t.co/CHJ78gynGT",11,https://twitter.com/ChrisGreenNews/status/1257633850273918976
BREAKING: 10 teaching unions from across UK and Ireland write open letter to @GavinWilliamson @educationgovuk urging “significant caution in any consideration of reopening schools.” @NEUnion @NASUWT @ucu @ITVCentral #education #schools #Coronavirus https://t.co/jGcRgeGPyc,10,https://twitter.com/pbearneITV/status/1257626093672161280
"While we are doing all we can to support the wellbeing of our young people during the school closures, we must not forget our teachers. From financial grants to mental health support, @EdSupportUK advise SecEd readers : https://t.co/K3DCCtIKuE #schoolclosureuk #mentalhealth",10,https://twitter.com/SecEd_Education/status/1258280634759462912
"School social worker Rocío Luquero helps youth in the darkest and poorest corners of Seattle's education system. That hasn't changed b/c of #coronavirus. 

Last week, she spent 3 days at a hospital with a student who was about to give birth. 

https://t.co/9dYvkEOCkZ

#waedu https://t.co/NItKc34AgB",10,https://twitter.com/dahliabazzaz/status/1256333915469406208
Opinium shows govt struggling to hold public support over handling of #coronavirus. % approve of gov management of crisis fallen from 61% 3 weeks ago to 47% with those who disapprove up from 22% to 34%. Net approval rate fallen from plus 39% to plus 13% https://t.co/zhufCI4S1u,10,https://twitter.com/JamesEnders/status/1256686394807930880
"Paying teachers over time to work in summer schools will be essential to helping disadvantaged children catch up following the school closures, according to @TeachFirst 
https://t.co/VNJjkpFIhL",10,https://twitter.com/tes/status/1258171188871921674
"Excellent article from @elashton about the existential threat facing childcare providers.

As I say in the piece, they've been asked to take on the responsibilities of schools but the liabilities of businesses. It's no wonder so many are having to close.

https://t.co/7N0T9XH3dY",10,https://twitter.com/TulipSiddiq/status/1257691978222927876
"A ""phased"" approach to lifting lockdown is likely to see primary school children returning to their schools in June, according to reports, while there are set to be measures introduced for office workspaces.

https://t.co/nZm5Q5Yg70",10,https://twitter.com/BuzzFeedNewsUK/status/1257222179155898370
The @NEUnion has joined forces with @Parentkind in sending a letter to education secretary @GavinWilliamson urging caution about the reopening of schools https://t.co/ZHKLVUyeEy - via @Specktator100 for @tes,10,https://twitter.com/tweetsbyames/status/1258061899968778240
"#Coronavirus latest news 🦠

🏫 Reopening all schools would bring 'very real risk' of a second peak in the UK, warns Dominic Raab

https://t.co/iTtZDUq062",10,https://twitter.com/Telegraph/status/1257719138983784448
"A good move from @Eton_College. They’re right, #coronavirus must trigger change which addresses inequality in UK education. But they can’t make a difference on their own. Which other large independent schools will step up with similar plans? @HMC_Org https://t.co/tGCTB8ZKIj",10,https://twitter.com/GoodSchoolsUK/status/1256481731617660929
"“Researchers found viral loads in children differed little from those in adults. Opening schools on the assumption that children are less likely to spread the virus was ill-advised, said Drosten, a virologist and Germany’s leading coronavirus expert”  https://t.co/jd77PEULaa",10,https://twitter.com/OhLottie/status/1256951686834327552
"Information about school opening times and their services during the coronavirus pandemic.

https://t.co/s4yjQ6bd9G https://t.co/OzEQgNPcK5",10,https://twitter.com/WG_Education/status/1256901601379471360
"What do teachers think are the most important things to remember to help with children's learning and wellbeing during Covid19? Tip 1: ""Be kind to yourself. Coronavirus is not a normal situation. It’s ok not to feel ok about it all"". For 6 more tips see https://t.co/IGfE5DKEIX https://t.co/0w3oU8dy61",9,https://twitter.com/Reach_Scot/status/1257602914664812544
The @educationgovuk has published a tranche of remote education best practice case studies from schools - but stresses provision is still optional https://t.co/z5UUP0l0Ix,9,https://twitter.com/tes/status/1258035039868198915
"Schools in UK may not return until September, Hancock warns https://t.co/D3MiM6RZ7p",9,https://twitter.com/standardnews/status/1258137966049976321
The leaders of England's two largest teaching unions have come together with others from across the UK to urge 'significant caution' over plans to reopen schools  https://t.co/NX72UVX4C1,9,https://twitter.com/SchoolsWeek/status/1257710147226517511
"Testing needs to increase dramatically for when schools re-open, according to @uniofoxford infectious diseases expert https://t.co/r0L7o9kvAN",9,
Reopening schools must be done with the safety and best interests of children at the heart of decision-making. https://t.co/T2t5j4LQWo,9,https://twitter.com/rob_kelsall/status/1255897267938172935
"Check out the latest instalment of our Friday 'good news' round-up, where we highlight the many different ways schools are offering their support during the coronavirus pandemic... https://t.co/Z6cPjoTRt4 https://t.co/aDIDKGgKxp",9,https://twitter.com/ISC_schools/status/1256192359869698050
"Schools may be closed but our school nurses aren't putting their feet up. They are out and about swabbing residents in care homes. Thank you Dudley school nurses, you are doing a brilliant job!❤️🌟 #coronavirus #TeamShropcom #OurNHSPeople https://t.co/kXH63Owyqh",9,
"Advice from @mindworkmatters (taken from the #Covid19MHWBpanel in March) in this week's episode of @FlourishingED on how to support older teens during the #Coronavirus crisis. 

https://t.co/b0SmuYj86Q

#Covid19 #wellbeing #PositiveEducation #schools #teenwellbeing #edutwitter https://t.co/Q4AkNS4QM0",9,https://twitter.com/Frederika_R/status/1256209782589063168
