,trigram,n
9810,workers brace surge,21
5322,ofstednews intervene rate,21
8079,social workers brace,21
2655,excl government told,21
7,able catch unless,20
6757,results inform government,20
7484,schools reopen childrenscomm,20
7486,schools reopen closes,20
3686,impact children never,20
7098,school closures devastating,20
3801,inform government policy,20
1825,covid19uk covid_19 coronavirusuk,20
1677,coronavirusuk homelearninguk schoolclosures,20
8712,tells school closures,20
1826,covid_19 coronavirusuk homelearninguk,20
1767,covid covid19uk covid_19,20
72,action taken support,20
5878,policy making covid,20
9320,urgent action taken,20
5573,parentkind survey uk,20
1043,childrenscomm tells school,20
831,catch unless urgent,20
3265,government policy making,20
4520,longterm impact children,20
4589,majority americans think,20
4610,making covid covid19uk,20
4719,may results inform,20
8568,take parentkind survey,20
8861,think trump poor,20
5079,never able catch,20
1155,closes th may,20
1178,closures devastating longterm,20
9098,trump poor job,20
5606,parents take parentkind,20
8068,social distancing schools,20
8529,survey uk schools,20
5892,poor job tackling,20
3961,job tackling coronavirus,20
6487,reopen childrenscomm tells,20
2100,devastating longterm impact,20
994,children never able,20
6490,reopen closes th,20
9279,unless urgent action,20
240,americans think trump,20
1588,coronavirus reopening scottish,19
3302,govt taken scientific,19
9354,us straight inbox,19
3363,guidance schools subscribing,19
1895,current advice staff,19
3640,housing sec robertjenrick,19
3139,get latest coronavirus,19
9311,updates us straight,19
2561,equipment needed schools,19
1481,coronavirus guidance schools,19
6111,protective equipment needed,19
5817,plans returns first,19
4021,june outlines plans,19
7596,schools subscribing teacher,19
8613,teacher bulletin subscribe,19
8578,taken scientific advice,19
7049,says schools wont,19
4166,latest coronavirus guidance,19
4178,latest updates us,19
7035,says govt taken,19
4252,least june outlines,19
128,advice level protective,19
4309,level protective equipment,19
7642,schools wont reopen,19
6894,robertjenrick says govt,19
7673,scientific advice level,19
5504,outlines plans returns,19
8406,subscribing teacher bulletin,19
8405,subscribe latest updates,19
8401,sturgeon says scottish,19
6685,require ppe coronavirus,19
7739,sec robertjenrick says,19
699,bulletin subscribe latest,19
9770,wont reopen least,19
4847,minister says schools,19
5036,needed schools reopen,19
6519,reopen least june,19
5223,nonresidential settings dont,19
6493,reopen current advice,19
4010,june according reports,19
8207,staff nonresidential settings,19
7488,schools reopen current,19
5947,ppe coronavirus latest,19
5449,opens phase found,18
9209,ulster teachers union,18
4985,nation next sunday,18
2095,details opens phase,18
8160,spike transmission coronavirus,18
7507,schools reopen september,18
2961,found via irishtimes,18
2677,expected unveil government,18
1511,coronavirus lockdown address,18
4157,last roadmap plan,18
4839,minister expected unveil,18
3376,gyms crèches last,18
209,along schools colleges,18
2419,education secretary johnswinney,18
5743,phase found via,18
4433,lockdown address nation,18
6032,prime minister expected,18
9287,unveil government roadmap,18
1890,crèches last roadmap,18
5786,plan along schools,18
1212,colleges details opens,18
7239,schools colleges details,18
6891,roadmap plan along,18
6887,roadmap coronavirus lockdown,18
100,address nation next,18
3270,government roadmap coronavirus,18
507,bbc news coronavirus,18
2382,education devolved holyrood,17
8681,teaching provision school,17
7720,scottish govt announce,17
6729,response well putting,17
2009,decision making doc,17
9161,uk govt course,17
6748,restrictions ease see,17
3131,get evidence writing,17
3137,get keep number,17
7710,scotlands response well,17
2393,education like nhs,17
6141,provision school closures,17
7721,scottish govt total,17
3236,got question schools,17
7691,scotgov briefing seeing,17
5893,poor remote teaching,17
2637,evidence writing ofstednews,17
2053,denmark experience schools,17
5262,number needs restrictions,17
5323,ofstednews poor remote,17
6476,remote teaching provision,17
5213,night coronavirus scotlands,17
7793,see denmark experience,17
5210,nicolasturgeon scotgov briefing,17
5189,nhs education devolved,17
257,andrew_adonis told get,17
9028,total control education,17
5047,needs restrictions ease,17
5008,need get keep,17
2103,devolved holyrood please,17
9008,tomorrow night coronavirus,17
2970,fragile need get,17
2683,experience schools framework,17
662,briefing seeing progress,17
9920,writing ofstednews poor,17
7817,seeing progress progress,17
2066,deputy first minister,17
4834,minister andrew_adonis told,17
2338,ease see denmark,17
8985,told get evidence,17
1364,control education like,17
3304,govt total control,17
472,back uk govt,17
6007,primary school children,17
4346,like nhs education,17
4058,keep number needs,17
3295,govt course scottish,17
6087,progress fragile need,17
1189,closures via tes,17
7053,says scottish govt,17
9664,well putting questions,17
7105,school closures via,17
6088,progress progress fragile,17
5843,please remember folks,17
1617,coronavirus scotlands response,17
1755,course scottish govt,17
3573,holyrood please remember,17
7320,schools framework decision,17
4029,june reports suggest,17
8061,social distancing impossible,16
5424,opening june protection,16
8313,stories uk highest,16
8672,teachers work children,16
8603,targeted uk us,16
6632,reopening schools neunion,16
7752,second wave coronavirus,16
1720,could uk open,16
3542,highest number covid19,16
8620,teacher unions across,16
2947,forgetting teachers work,16
2399,education ministers england,16
1318,consideration reopening schools,16
4009,jumped since schools,16
6451,rely social distancing,16
5260,number covid19 deaths,16
8011,since schools nurseries,16
9165,uk highest number,16
5233,northern ireland republic,16
5923,post covid schools,16
7440,schools opening june,16
982,children less risk,16
6029,primaryaged children less,16
4025,june protection place,16
6354,read three stories,16
6531,reopen primary schools,16
6562,reopen schools theipaper,16
9180,uk open schools,16
6300,rate jumped since,16
4137,labs malicious cyber,16
5776,place cant rely,16
8254,states targeted uk,16
9780,work children schools,16
7982,significant caution consideration,16
