,trigram,n
1341,pandemic schools receive,5
866,holyrood please remember,5
1491,published guidance social,5
965,jointly us govt,5
1946,september target reopening,5
1208,need work well,5
59,announce schools go,5
1264,nonresidential education settings,5
1186,mufc donating local,5
1730,says scottish govt,5
25,additional hours per,5
1189,must forget teachers,5
1722,says government published,5
265,clarity still absent,5
322,control education like,5
1719,says education minister,5
387,coronavirus september target,5
1125,may remain closed,5
579,education devolved holyrood,5
2389,warned risk transmission,5
1887,scied community cope,5
386,coronavirus second wave,5
2075,sturgeon says scottish,5
528,distancing schools inform,5
2493,wrote jointly us,5
845,help scied community,5
305,community cope new,5
583,education like nhs,5
1441,ppe robert jenrick,5
1090,lost learning schools,5
1947,series online webinars,5
1680,risk transmission rates,5
1199,ncpta supported five,5
836,health support edsupportuk,5
2073,study found teachers,5
115,bbc news well,4
790,government angelarayner uklabour,4
2136,teacher ppe say,4
1442,ppe say ministers,4
228,children apart bbc,4
1751,school reopening issues,4
1447,practice guidance dfe,4
1532,read need ensure,4
2214,time since coronavirus,4
2341,us straight inbox,4
1665,revealed boris johnsons,4
166,bulletin subscribe latest,4
181,campaign fight future,4
162,british council campaign,4
1685,roadmap ease lockdown,4
149,bottom per cent,4
2322,updates us straight,4
1075,lockdown reopen schools,4
2378,wales keep eye,4
132,best practice guidance,4
1544,rebuttal andrew_adoniss criticism,4
1712,save british council,4
1713,say ministers closing,4
111,based political expediency,4
1089,loss fourweek school,4
352,coronavirus guidance schools,4
1460,principles determine education,4
1739,school closure equivalent,4
1015,learning loss fourweek,4
816,guidance schools subscribing,4
814,guidance dfe tips,4
2402,week education minister,4
2407,weeks someone thought,4
415,council campaign fight,4
2134,teacher bulletin subscribe,4
1207,need teacher ppe,4
1226,new best practice,4
995,last week education,4
996,last weeks someone,4
631,ensure schools clear,4
636,equivalent moving middleranking,4
944,issues gavinwilliamson government,4
998,latest coronavirus guidance,4
647,everyone seen new,4
461,cut closure nearly,4
657,excellent article school,4
1604,reopening issues gavinwilliamson,4
57,andrew_adoniss criticism schools,4
1202,need ensure schools,4
1883,schools wuhan reopen,4
1201,nearly schools due,4
1767,schools clear plan,4
452,criticism schools coronavirus,4
664,expediency covid_19 schools,4
1875,schools wales keep,4
999,latest updates us,4
2474,worth read need,4
220,child bottom per,4
674,eye faqs updated,4
2496,wuhan reopen first,4
557,due coronavirusrelated measures,4
1976,since coronavirus outbreak,4
2508,youve last weeks,4
